Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-07-16,400.839996,400.880005,396.140015,396.609985,387.378387,4516600,862
2021-07-19,391.779999,392.26001,387.929993,390.679993,381.586426,12336200,863
2021-07-20,391.350006,397.5,390.01001,396.200012,386.977966,4043100,864
2021-07-21,397.480011,399.619995,397.269989,399.529999,390.230438,2996600,865
2021-07-22,399.709991,400.559998,398.700012,400.380005,391.060669,2575700,866
2021-07-23,402.170013,404.75,401.579987,404.380005,394.96756,3151900,867
2021-07-26,403.920013,405.420013,403.820007,405.410004,395.973602,2374300,868
2021-07-27,404.450012,404.450012,400.799988,403.609985,394.215485,3626100,869
2021-07-28,404.170013,404.76001,402.040009,403.390015,394.000641,3763700,870
2021-07-29,404.359985,406.130005,404.350006,405.130005,395.700104,2274200,871
2021-07-30,402.589996,404.529999,402.470001,403.149994,393.766205,5204500,872
2021-08-02,404.779999,405.359985,401.940002,402.329987,392.96524,5814700,873
2021-08-03,403.079987,405.660004,400.920013,405.579987,396.139618,4129600,874
2021-08-04,404.309998,404.859985,403.339996,403.640015,394.244781,3880200,875
2021-08-05,404.700012,406.190002,404.380005,406.160004,396.706146,3052800,876
2021-08-06,406.440002,407.179993,406.170013,406.859985,397.389832,2486900,877
2021-08-09,406.75,407.049988,405.690002,406.470001,397.008911,1984400,878
2021-08-10,406.910004,407.670013,406.230011,406.980011,397.50705,2400700,879
2021-08-11,408,408.070007,406.910004,407.959991,398.464233,3554400,880
2021-08-12,407.820007,409.329987,406.970001,409.149994,399.626526,2319300,881
2021-08-13,409.640015,409.959991,409.179993,409.959991,400.417694,2253800,882
2021-08-16,408.709991,411.01001,407.149994,410.940002,401.374847,3379100,883
2021-08-17,408.410004,409.049988,405.309998,408.230011,398.727966,5186300,884
2021-08-18,407.220001,408.75,403.540009,403.839996,394.440094,4878300,885
2021-08-19,401.089996,405.549988,400.929993,404.410004,394.996887,5505700,886
2021-08-20,404.679993,407.920013,404.26001,407.609985,398.122345,3263600,887
2021-08-23,409.25,412.079987,409.230011,411.220001,401.648346,3259400,888
2021-08-24,411.899994,412.359985,411.350006,411.869995,402.283234,3006500,889
2021-08-25,412.059998,413.209991,411.670013,412.630005,403.025543,3261400,890
2021-08-26,412.410004,412.660004,410.200012,410.220001,400.671661,4707600,891
2021-08-27,411.089996,414.329987,411.019989,413.859985,404.226898,3882200,892
2021-08-30,414.660004,416.559998,414.390015,415.76001,406.082733,2811800,893
2021-08-31,415.660004,416.019989,414.579987,415.049988,405.389221,6062900,894
2021-09-01,416.049988,416.589996,415.160004,415.48999,405.819,3256400,895
2021-09-02,416.799988,417.440002,415.5,416.730011,407.03009,2835500,896
2021-09-03,415.579987,417.059998,415.160004,416.570007,406.87381,3740000,897
